"Nazwa.przystanku"
"PLAC JANA PAWŁA II (LEGNICKA)"
"DWORZEC ŚWIEBODZKI"
"PLAC LEGIONÓW (GRABISZYŃSKA)"
"ARKADY (POWSTAŃCÓW ŚLĄSKICH"
"D.A. STAWOWA WIADUKT"
"D.A. SWOBODNA"
"D.A. ŚLĘŻNA"
"D.A. BOROWSKA"
"D.A. SUCHA"
"PUŁASKIEGO WIADUKT KOLEJOWY"
"ŚWISTACKIEGO (KOŚCIUSZKI)"
"PLAC WRÓBLEWSKIEGO"
"PLAC BEMA"
"MOST POKOJU - URZĄD WOJEWÓDZKI"
"MOST UNIWERSYTECKI"
"MOST POMORSKI"
"JANA PAWŁA II (MOST SIKORSKIEGO)"
"JANA PAWŁA (PODWALE - AKADEMIA MUZYCZNA"
"PIŁSUDSKIEGO/KOMANDORSKA"
"ZACHODNIA STACJA KOLEJOWA"
"POPOWICKA STACJA KOLEJOWA"
"MOST OSOBOWICKI - KLECZKOWSKA"
"MOST TRZEBNICKI - TRZEBNICKA"
"MOSTY JAGIELOŃSKIE - ZACISZE"
"MOST ZWIERZYNIECKI - KLINIKI"
"HUBSKA/KAMIENNA"
"BARDZKA/ARMII KRAJOWEJ"
"ROD BAJKI (BOROWSKA)"
"WIŚNIOWA/ŚLĘŻNA"
"POWSTAŃCÓW ŚLĄSKICH/HALLERA"
"HALLERA/POWSTAŃCÓW ŚLĄSKICH"
"MIELECKA (HALLERA)"
"STALOWA (GRABISZYŃSKA)"
"FAT (WIADUKT KOLEJOWY)"
"MOST MILENIJNY - HALA ORBITA"
"MOST MILENIJNY (OSOBOWICKA)"
"BOYA ŻELEŃSKIEGO (BERENTA)"
"OBORNICKA OBWODNICA (TARGI PIAST)"
"WROZAMET"
"TWARDOGÓRSKA (KAMIEŃSKIEGO)"
"C.H. KORONA (KRZYWOUSTEGO WIADUKT)"
"KOWALE STACJA KOLEJOWA"
"MOST SWOJCZYCKI - MONOPOLOWA"
"PRZYSTANKOWA (GROTA ROWECKIEGO)"
"WYŚCIGOWA WIADUKT KOLEJOWY"
"KRZYKI (KRZYCKA)"
"RONDO ROTMISTRZA PILECKIEGO"
"DWORSKA (PILCZYCKA)"
"MIRKÓW WOLNOŚCI"
"KIEŁCZOWSKA CMENTARZ"
"RADWANICE SKRAJNA"
"KARKONOSKA"
"POŁABIAN (CZEKOLADOWA)"
"GAŁOWSKA (SAMOTWÓR)"
"KRZELOWSKA (WILKSZYŃSKA)"
"ŚWINIARY"
"MROŹNA (SZEWCZENKI)"
"ZALEWOWA (OPATOWICKA)"
"OŁTASZYŃSKA"
"LAS RATYŃSKI (GROMADZKA)"
"EUREKA (KOŁŁĄTAJA)"
"RYNEK (KAZIMIERZA WIELKIEGO/KRUPNICZA)"
"GALERIA DOMINIKAŃSKA (FOSA)"
"GRABISZYŃSKA (ZAPOROSKA)"
"ZAKRZOWSKA (WIADUKT KOLEJOWY)"
"PL.GRUNWALDZKI (wylot na most Zwierzyniecki)"
"PL.GRUNWALDZKI (wylot na most Grunwaldzki)"
"PL.GRUNWALDZKI (wylot od Szczytnickiej, Reja)"
"PL.GRUNWALDZKI (wylot na Piastowską, oś Grunwaldzką, most Szczytnicki)"
"ARKADY (ŚWIDNICKA)"
"PUŁASKIEGO/KOMUNY PARYSKIEJ"
"PODWALE (KOMUNY PARYSKIEJ - DWORCOWA)"
"KOŚCIUSZKI/DWORCOWA"
"KAMIEŃSKIEGO/ŻMIGRODZKA"
"POLA (KASPROWICZA)"
"PL.DANIŁOWSKIEGO (PRZYBYSZEWSKIEGO)"
"KWIDZYŃSKA (KWIDZYŃSKA)"
"KIEŁCZOWSKA LZN"
"TRAMWAJOWA (OLSZEWSKIEGO)"
"DRUKARSKA (KAMIENNA)"
"GRABISZYŃSKA CMENTARZ"
"KOLBUSZOWSKA STADION"
"OŁTASZYŃSKA/ZWYCIĘSKA"
"NOWODWORSKA (STRZEGOMSKA)"
"WEJHEROWSKA (WEJHEROWSKA)"
"KOLISTA (PILCZYCKA)"
"KWISKA (LEGNICKA)"
"NA OSTATNIM GROSZU (ORLIŃSKIEGO)"
"MAŚLICKA/BRODZKA"
"KLECINA PĘTLA"
