"Kierunek","kierunek_lc"
"FAT Pd/t(11660)","fat pd/t(11660)"
"FAT Pd-W/a(11726)","fat pd-w/a(11726)"
"FAT Pn/t(11659)","fat pn/t(11659)"
"FAT PnW/a(11706)","fat pnw/a(11706)"
"Gaj","gaj"
"GAJ-pętla","gaj-pętla"
"GAJ W/t(21030)","gaj w/t(21030)"
"GAJ W/t (21030)","gaj w/t (21030)"
"GAJ - pętla ","gaj - pętla "
"GAJ - pętla 146(21139)","gaj - pętla 146(21139)"
"Gaj - zajezdnia","gaj - zajezdnia"
"Galeria Dominikańska","galeria dominikańska"
"GALERIA DOMINIKAŃSKA","galeria dominikańska"
"GALERIA DOMINIKAŃSKA ","galeria dominikańska "
"gALERIA DOMINIKAŃSKA 114/120(10121)","galeria dominikańska 114/120(10121)"
"GALERIA DOMINIKAŃSKA 114/120(10121)","galeria dominikańska 114/120(10121)"
"Galeria Dominikńska","galeria dominikńska"
"Galeri Dominikańska","galeri dominikańska"
"GAŁÓW 917(911905)","gałów 917(911905)"
"Godzieszowa","godzieszowa"
"GRABISZYNEK","grabiszynek"
"GRABISZYNEK ","grabiszynek "
"GRABISZYNEK aw/t(11654)","grabiszynek aw/t(11654)"
"GRABISZYŃSKA","grabiszyńska"
"Grabiszyńska Cmentarz","grabiszyńska cmentarz"
"GRABISZYŃSKA (Cmentarz) ","grabiszyńska (cmentarz) "
"GRABISZYŃSKA (Cmentarz) Pn/t(11610)","grabiszyńska (cmentarz) pn/t(11610)"
"GRABISZYŃSKA (Cmentarz) Pn/t (11610)","grabiszyńska (cmentarz) pn/t (11610)"
"Grunwald","grunwald"
"Iwiny","iwiny"
"IWINY","iwiny"
"IWINY-PĘTLA","iwiny-pętla"
"IWINY-RONDO","iwiny-rondo"
"IWINY (RONDO)","iwiny (rondo)"
"Iwiny (Rondo) Pn/a(524902)","iwiny (rondo) pn/a(524902)"
"IWINY - pętla 110(524900)","iwiny - pętla 110(524900)"
"Jaksonowice","jaksonowice"
"JAKSONOWICE","jaksonowice"
"JAKSONOWICE Pn/a(326212)","jaksonowice pn/a(326212)"
"Janówek","janówek"
"Janówek 103(18717)","janówek 103(18717)"
"Jarnołtów","jarnołtów"
